101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
士林區,天祿里,1873,2415306,1290,734,404,1395,2660.53,206.32
士林區,天壽里,1864,5467833,2933,860,448,1789,44610.25,1520.78
士林區,東山里,1673,2601434,1555,778,416,1552,4390.09,282.33
士林區,福華里,1838,1466569,798,595,355,1017,742.74,93.08
士林區,聖山里,1769,2538316,1435,796,427,1582,5635.09,392.72
士林區,天和里,2735,4668806,1707,824,422,1684,7331.83,429.5
士林區,明勝里,1676,1620874,967,650,365,1215,1090.37,112.75
士林區,社園里,2117,1656528,782,571,364,953,753.71,96.32
士林區,蘭興里,2300,3203202,1393,832,429,1631,2214.2,158.99
士林區,天母里,2428,5327118,2194,839,401,1797,10344.45,471.48
士林區,名山里,2588,3358696,1298,790,409,1513,2170.95,167.28
